,0,1,2
173,"(59, 347)","(94, 264)","(133, 404)"
174,"(84, 165)","(88, 72)","(105, 306)"
175,"(25, 144)","(56, 246)","(74, 145)"
176,"(29, 563)","(48, 474)","(71, 436)"
177,"(138, 635)","(163, 160)","(166, 434)"
178,"(79, 570)","(85, 175)","(99, 144)"
179,"(69, 408)","(84, 258)","(93, 372)"
180,"(38, 546)","(50, 541)","(64, 322)"
181,"(10, 650)","(43, 420)","(57, 95)"
182,"(94, 404)","(109, 671)","(167, 378)"
183,"(67, 701)","(115, 465)","(118, 308)"
184,"(92, 103)","(104, 299)","(128, 304)"
185,"(50, 130)","(89, 85)","(95, 379)"
186,"(49, 592)","(77, 402)","(79, 247)"
187,"(73, 583)","(74, 522)","(81, 17)"
188,"(99, 138)","(116, 52)","(134, 648)"
189,"(61, 399)","(96, 364)","(110, 624)"
190,"(23, 58)","(94, 26)","(98, 395)"
191,"(35, 505)","(36, 572)","(49, 199)"
192,"(48, 253)","(52, 96)","(52, 382)"
193,"(8, 359)","(33, 585)","(52, 714)"
194,"(37, 578)","(40, 25)","(78, 534)"
195,"(11, 616)","(33, 329)","(52, 116)"
196,"(40, 407)","(45, 509)","(72, 238)"
197,"(34, 406)","(61, 288)","(91, 710)"
198,"(4, 90)","(30, 665)","(73, 78)"
199,"(23, 505)","(42, 572)","(46, 1)"
200,"(15, 211)","(18, 201)","(31, 217)"
201,"(18, 200)","(22, 211)","(32, 217)"
202,"(16, 392)","(33, 227)","(43, 215)"
203,"(11, 218)","(43, 200)","(44, 217)"
204,"(13, 209)","(15, 561)","(33, 111)"
205,"(36, 206)","(37, 221)","(47, 235)"
206,"(14, 220)","(26, 216)","(31, 234)"
207,"(11, 230)","(29, 225)","(39, 212)"
208,"(31, 235)","(32, 676)","(38, 226)"
209,"(13, 204)","(15, 561)","(29, 111)"
210,"(12, 234)","(28, 220)","(42, 206)"
211,"(15, 200)","(22, 201)","(24, 685)"
212,"(21, 225)","(39, 207)","(46, 255)"
213,"(18, 580)","(41, 434)","(104, 517)"
214,"(21, 647)","(73, 596)","(94, 477)"
215,"(42, 233)","(43, 202)","(43, 392)"
216,"(22, 220)","(26, 206)","(39, 234)"
217,"(31, 200)","(32, 201)","(36, 226)"
218,"(11, 203)","(47, 200)","(49, 685)"
219,"(20, 236)","(20, 632)","(51, 222)"
220,"(14, 206)","(19, 234)","(22, 216)"
221,"(15, 237)","(25, 235)","(37, 205)"
222,"(36, 632)","(40, 236)","(42, 228)"
223,"(2, 229)","(17, 255)","(42, 452)"
224,"(14, 226)","(24, 452)","(43, 201)"
225,"(21, 212)","(29, 207)","(29, 256)"
226,"(14, 224)","(36, 217)","(37, 201)"
227,"(33, 202)","(34, 677)","(40, 608)"
228,"(37, 209)","(39, 204)","(42, 222)"
229,"(2, 223)","(16, 255)","(40, 452)"
230,"(11, 207)","(41, 225)","(46, 608)"
231,"(61, 552)","(69, 377)","(87, 379)"
232,"(48, 365)","(55, 45)","(71, 162)"
233,"(6, 256)","(17, 717)","(36, 225)"
234,"(12, 210)","(19, 220)","(31, 206)"
235,"(21, 237)","(25, 221)","(31, 208)"
236,"(4, 632)","(20, 219)","(40, 222)"
237,"(15, 221)","(21, 235)","(21, 676)"
238,"(31, 407)","(46, 19)","(51, 509)"
239,"(21, 531)","(57, 622)","(86, 438)"
240,"(88, 368)","(102, 148)","(105, 311)"
241,"(94, 344)","(103, 612)","(104, 323)"
242,"(49, 244)","(62, 250)","(107, 542)"
243,"(67, 598)","(90, 567)","(93, 455)"
244,"(44, 250)","(49, 242)","(70, 542)"
245,"(43, 504)","(104, 446)","(136, 73)"
246,"(56, 175)","(75, 144)","(86, 145)"
247,"(34, 592)","(46, 332)","(62, 13)"
248,"(33, 318)","(72, 600)","(110, 11)"
249,"(114, 342)","(129, 497)","(173, 479)"
250,"(44, 244)","(62, 242)","(83, 286)"
251,"(49, 70)","(114, 614)","(147, 166)"
252,"(55, 19)","(63, 535)","(76, 509)"
253,"(35, 96)","(48, 192)","(56, 439)"
254,"(31, 126)","(128, 281)","(253, 538)"
255,"(16, 229)","(17, 223)","(31, 452)"
256,"(6, 233)","(13, 717)","(29, 225)"
257,"(69, 324)","(78, 288)","(80, 157)"
258,"(30, 16)","(31, 49)","(77, 408)"
259,"(56, 51)","(61, 118)","(141, 593)"
260,"(59, 627)","(66, 271)","(71, 57)"
261,"(43, 285)","(47, 300)","(84, 147)"
262,"(39, 113)","(57, 658)","(70, 536)"
263,"(116, 441)","(164, 675)","(170, 384)"
264,"(37, 347)","(94, 173)","(153, 591)"
265,"(19, 637)","(54, 636)","(71, 581)"
266,"(30, 410)","(35, 712)","(57, 527)"
267,"(90, 395)","(101, 646)","(154, 257)"
268,"(49, 560)","(64, 548)","(70, 77)"
