,address,zipcode,city,state,latitude,longitude,amount
2083,685 South Bryant Street,80219,Denver,CO,39.704228,-105.018366,452032
2084,2246 Washington Street,80205,Denver,CO,39.750372,-104.97781,439113
2085,2215 Court Place,80241,Thornton,CO,39.927479,-104.960351,376966
2086,7096 East Ohio Drive,,,,,,
2087,648 Columbine Street,80206,Denver,CO,39.726543,-104.957528,1320457
2088,1252 South Bellaire Street,,,,,,
2089,2942 West 3rd Avenue,80219,Denver,CO,39.720888,-105.024312,347278
2090,3939 West 25th Avenue,80212,Denver,CO,39.754159,-105.039107,695270
2091,3115 Vine Street,80205,Denver,CO,39.761014,-104.96255,503085
2092,4424 Vallejo Street,80211,Denver,CO,39.777053,-105.013156,509037
2093,940 Lincoln Street,,,,,,
2094,4141 West 30th Avenue,80212,Denver,CO,39.760546,-105.041407,1407023
2095,1 Polo Club Lane,80209,Denver,CO,39.707073,-104.955692,4097566
2096,1925 Hooker Street,80204,Denver,CO,39.747143,-105.02871,596631
2097,5017 West 41st Avenue,80212,Denver,CO,39.773083,-105.051354,301209
2098,719 East 17th Avenue,80203,Denver,CO,39.743007,-104.983102,
2099,22 Jackson Street,80206,Denver,CO,39.716695,-104.942191,
2100,4121 South Valentia Street,,,,,,
2101,4000 South Uinta Street,,,,,,
2102,2353 Washington Street,80205,Denver,CO,39.751436,-104.978274,647818
2103,3459 Shoshone Street,80211,Denver,CO,39.7655,-105.009928,662407
2104,3882 South Jasmine Street,,,,,,
2105,2515 Lawrence Street,80205,Denver,CO,39.757402,-104.985579,1188361
2106,1090 East Colorado Avenue,,,,,,
2107,719 Clermont Street,,,,,,
2108,2111 East Dartmouth Avenue,80210,Denver,CO,39.660604,-104.963682,866958
2109,6654 East 16th Avenue,,,,,,
2110,1440 Gaylord Street,80206,Denver,CO,39.739214,-104.960655,858491
2111,188 Xavier Street,80219,Denver,CO,39.720081,-105.048851,398318
2112,1071 Washington Street,80203,Denver,CO,39.733319,-104.979162,309496
2113,1420 Stout Street,,,,,,
2114,4881 North Dunkirk Street,,,,,,
2115,3211 Clayton Street,80205,Denver,CO,39.76226,-104.955215,460580
2116,4967 Quitman Street,80212,Denver,CO,39.786452,-105.040726,390575
2117,4158 Wyandot Street,80211,Denver,CO,39.773966,-105.01438,500846
2118,146 West Irvington Place,80223,Denver,CO,39.717211,-104.990417,809694
2119,1236 Emerson Street,,,,,,
2120,909 East 25th Avenue,80205,Denver,CO,39.753444,-104.975516,596782
2121,1350 Franklin Street,80218,Denver,CO,39.737762,-104.968107,1314703
2122,720 Elizabeth Street,80206,Denver,CO,39.727758,-104.95639,533837
2123,1588 Detroit Street,80206,Denver,CO,39.741845,-104.954435,831395
2124,4710 East Jewell Avenue,80222,Denver,CO,39.681856,-104.933557,406905
2125,2246 Larimer Street,80205,Denver,CO,39.755287,-104.989024,
2126,3349 Humboldt Street,80205,Denver,CO,39.764243,-104.969798,
2127,3021 South Grape Way,80222,Denver,CO,39.664063,-104.924839,451779
2128,2835 Stout Street,80205,Denver,CO,39.757753,-104.978149,442750
2129,136 Kalamath Street,,,,,,
2130,3949 East 17th Avenue,,,,,,
2131,1750 Wewatta Street,80202,Denver,CO,39.754336,-105.000525,417280
2132,539 Bannock Street,80204,Denver,CO,39.724888,-104.991208,598162
2133,2380 South Quitman Street,80219,Denver,CO,39.673957,-105.040336,408159
2134,3331 Tejon Street,80211,Denver,CO,39.763874,-105.011529,557294
2135,9824 South Fulton Street,,,,,,
2136,556 South Sherman Street,80209,Denver,CO,39.706454,-104.984824,878280
2137,6923 West Yale Avenue,,,,,,
2138,1956 South Leyden Street,,,,,,
2139,1694 Xanthia Street,80220,Denver,CO,39.743655,-104.886667,420221
2140,1700 East Colfax Avenue,,,,,,
2141,2841 Stout Street,80205,Denver,CO,39.75785,-104.978024,436113
2142,45 Ogden Street,80218,Denver,CO,39.717443,-104.976255,477703
2143,1382 West Ada Place,,,,,,
2144,849 South Osage Street,80223,Denver,CO,39.700456,-105.003809,350669
2145,2162 East 28th Avenue,,,,,,
2146,1169 Colorado Boulevard,80206,Denver,CO,39.734908,-104.94104,
2147,4829 North Halifax Court,80249,Denver,CO,39.78482,-104.756918,364675
2148,1721 Boulder Street,80211,Denver,CO,39.760686,-105.009062,1198486
2149,7428 Richthofen Place,,,,,,
2150,526 Delaware Street,80204,Denver,CO,39.724676,-104.992461,438004
2151,2725 South Harrison Street,80210,Denver,CO,39.666859,-104.94207,447799
2152,2724 South Garfield Street,80210,Denver,CO,39.666891,-104.943495,458376
2153,789 Ivanhoe Street,,,,,,
2154,844 Meade Street,80204,Denver,CO,39.729992,-105.035875,
2155,1800 South Clarkson Street,80210,Denver,CO,39.683784,-104.977868,444489
2156,1645 Stout Street,,,,,,
2157,950 Quitman Street,80204,Denver,CO,39.732413,-105.040236,386585
2158,5747 East Bayaud Avenue,,,,,,
2159,2400 East Asbury Avenue,80210,Denver,CO,39.679823,-104.957247,
2160,698 East Virginia Avenue,,,,,,
2161,2211 South Gilpin Street,80210,Denver,CO,39.676347,-104.967907,824533
2162,5630 Martin Luther King Jr Boulevard,,,,,,
2163,752 South Wolcott Court,80219,Denver,CO,39.703141,-105.04915,320107
2164,300 East 9th Avenue,,,,,,
2165,5011 Quitman Street,80212,Denver,CO,39.787709,-105.040729,968099
2166,3722 Tejon Street,80211,Denver,CO,39.768487,-105.010861,515844
2167,68 Lincoln Street,80203,Denver,CO,39.717758,-104.985871,
2168,5098 Newton Street,80221,Denver,CO,39.789046,-105.03661,
2169,3809 Winona Court,80212,Denver,CO,39.769756,-105.047717,1207291
2170,4051 West Conejos Place,80204,Denver,CO,39.742044,-105.04002,880374
2171,1320 Monroe Street,,,,,,
2172,2627 East 7th Avenue,80206,Denver,CO,39.727598,-104.955859,3110373
2173,9039 East Girard Avenue,,,,,,
2174,5262 East Mississippi Avenue,,,,,,
2175,3501 Josephine Street,80205,Denver,CO,39.7659,-104.958917,562665
2176,648 Columbine Street,80206,Denver,CO,39.726543,-104.957528,1320457
2177,5709 Ceylon Street,80249,Denver,CO,39.802074,-104.765042,293414
2178,1431 Lafayette Street,80218,Denver,CO,39.739,-104.971014,687221
