,Unnamed: 0,address,zipcode,city,state,latitude,longitude,amount
1192,1192,4516 West 36th Avenue,80212.0,Denver,CO,39.766393,-105.04535700000001,597074.0
1193,1193,1611 Hooker Street,80204.0,Denver,CO,39.743059,-105.02874299999999,894856.0
1194,1194,1221 Galapago Street,80204.0,Denver,CO,39.73572,-104.99731899999999,672397.0
1196,1196,1836 South Lincoln Street,80210.0,Denver,CO,39.683219,-104.986027,595097.0
1199,1199,2523 Stout Street,80205.0,Denver,CO,39.75478,-104.98197900000001,516450.0
1201,1201,532 East 1st Avenue,80203.0,Denver,CO,39.718113,-104.980652,640806.0
1203,1203,7755 East Quincy Avenue,80237.0,denver,CO,39.63839,-104.89482,295999.0
1209,1209,1152 South Alcott Street,80219.0,Denver,CO,39.695801,-105.016228,347387.0
1210,1210,1315 South Lincoln Street,80210.0,Denver,CO,39.69267,-104.98659199999999,620502.0
1211,1211,119 South Locust Street,80222.0,Denver,CO,39.751595,-104.913648,303106.0
1212,1212,2423 East 11th Avenue,80206.0,Denver,CO,39.733973999999996,-104.95794199999999,599257.0
1216,1216,2208 South Grant Street,80210.0,Denver,CO,39.676406,-104.98370200000001,612057.0
1218,1218,2621 York Street,80210.0,Denver,CO,39.668989,-104.960908,527571.0
1221,1221,3050 South Forest Street,80222.0,Denver,CO,39.662519,-104.927006,440413.0
1222,1222,2942 Arapahoe Street,80205.0,Denver,CO,39.7604,-104.97894199999999,436635.0
1223,1223,4994 Alcott Street,80221.0,Denver,CO,39.787281,-105.016645,626899.0
1225,1225,2720 Columbine Street,80205.0,Denver,CO,39.756268,-104.95695800000001,551733.0
1226,1226,2632 West 26th Avenue,80211.0,Denver,CO,39.754464,-105.01998600000002,857060.0
1227,1227,2830 Josephine Street,80205.0,Denver,CO,39.757546999999995,-104.9582,622623.0
1229,1229,910 Santa Fe Drive,80204.0,Denver,CO,39.730866,-104.99831499999999,150867.0
1230,1230,2685 Grape Street,80207.0,Denver,CO,39.756282,-104.924921,793406.0
1231,1231,3030 West 19th Avenue,80204.0,Denver,CO,39.746199,-105.02627,534772.0
1232,1232,8340 East Colfax Avenue,80207.0,Denver,CO,39.749489000000004,-104.90243899999999,499091.0
1233,1233,4059 Alcott Street,80211.0,Denver,CO,39.772771,-105.01776399999999,545909.0
1234,1234,417 West 4th Avenue,80223.0,Denver,CO,39.722775,-104.993268,978374.0
1235,1235,1647 Gaylord Street,80206.0,Denver,CO,39.742513,-104.96133200000001,732809.0
1236,1236,3137 West 34th Avenue,80211.0,Denver,CO,39.764894,-105.02844099999999,609188.0
1237,1237,2983 Osceola Street,80212.0,Denver,CO,39.760028999999996,-105.03844099999999,506595.0
1239,1239,1333 Jackson Street,80206.0,Denver,CO,39.737458000000004,-104.94306499999999,605801.0
1240,1240,1234 East 27th Avenue,80205.0,Denver,CO,39.755582000000004,-104.97231799999999,308907.0
1243,1243,2825 East 9th Avenue,80206.0,Denver,CO,39.730674,-104.953207,1222915.0
1244,1244,1250 Zenobia Street,80204.0,Denver,CO,39.736075,-105.051767,482105.0
1245,1245,2907 West 46th Avenue,80211.0,Denver,CO,39.780357,-105.023127,460914.0
1246,1246,626 Osceola Street,80204.0,Denver,CO,39.726719,-105.03806399999999,374094.0
1247,1247,3710 Kalamath Street,80211.0,Denver,CO,39.768466,-105.000254,474727.0
1251,1251,1724 West 43rd Avenue,80211.0,Denver,CO,39.775178000000004,-105.008452,513801.0
1252,1252,4566 Wyandot Street,80211.0,Denver,CO,39.779426,-105.013949,351948.0
1253,1253,3469 West 35th Avenue,80211.0,Denver,CO,39.765856,-105.03385800000001,530227.0
1254,1254,3457 Bryant Street,80211.0,Denver,CO,39.765508000000004,-105.019274,927341.0
1255,1255,2524 Clermont Street,80222.0,Denver,CO,39.669940999999994,-104.93513200000001,576402.0
1256,1256,4543 East 16th Avenue,80220.0,Denver,CO,39.741627,-104.934417,628515.0
1258,1258,801 South Emerson Street,80209.0,Denver,CO,39.701876,-104.977246,525872.0
1259,1259,2822 Race Street,80205.0,Denver,CO,39.757492,-104.963101,664208.0
1260,1260,1800 Grove Street,80204.0,Denver,CO,39.745444,-105.026559,287822.0
1261,1261,124 South Logan Street,80209.0,Denver,CO,39.714220000000005,-104.98238300000001,580552.0
1263,1263,4104 Winona Court,80212.0,Denver,CO,39.773088,-105.047137,1524423.0
1264,1264,2310 Franklin Street,80205.0,Denver,CO,39.750983000000005,-104.968143,386579.0
1265,1265,2509 Ogden Street,80205.0,Denver,CO,39.75352,-104.97474799999999,482569.0
1266,1266,1614 East 16th Avenue,80218.0,Denver,CO,39.741438,-104.966871,439713.0
1267,1267,3430 Clay Street,80211.0,Denver,CO,39.765076,-105.02016599999999,516329.0
1268,1268,2753 West Irvington Place,80219.0,Denver,CO,39.717773,-105.02150900000001,347185.0
1269,1269,3324 Tejon Street,80211.0,Denver,CO,39.763839000000004,-105.010325,833026.0
1271,1271,3063 Zuni Street,80211.0,Denver,CO,39.760578,-105.016053,852963.0
1272,1272,3025 Umatilla Street,80211.0,Denver,CO,39.760221,-105.012169,496742.0
1276,1276,3275 West 18th Avenue,80204.0,Denver,CO,39.745336,-105.02955800000001,670467.0
1277,1277,1921 West 47th Avenue,80211.0,Denver,CO,39.781621,-105.010094,447233.0
1282,1282,1300 Clayton Street,80206.0,Denver,CO,39.736979999999996,-104.9548,301488.0
1283,1283,1927 West 33rd Avenue,80211.0,Denver,CO,39.763479,-105.010282,677773.0
1284,1284,99 West Bayaud Avenue,80223.0,Denver,CO,39.715047,-104.989769,860464.0
1285,1285,1910 South Pearl Street,80210.0,Denver,CO,39.681855,-104.98018,748618.0
1287,1287,1822 East 31st Avenue,80205.0,Denver,CO,39.76052,-104.965218,440627.0
1288,1288,3314 Marion Street,80205.0,Denver,CO,39.763596,-104.97175700000001,362195.0
1290,1290,2521 Champa Street,80205.0,Denver,CO,39.755437,-104.982874,515549.0
1291,1291,1212 Columbine Street,80206.0,Denver,CO,39.735510999999995,-104.95711299999999,1023400.0
1297,1297,2499 Decatur Street,80211.0,Denver,CO,39.753454,-105.022287,949876.0
1300,1300,867 South Corona Street,80209.0,Denver,CO,39.700757,-104.97488500000001,555044.0
1301,1301,290 South Clarkson Street,80209.0,Denver,CO,39.711247,-104.97783100000001,487079.0
1302,1302,1026 28th Street,80205.0,Denver,CO,39.758759000000005,-104.98108300000001,363579.0
1303,1303,928 West 13th Avenue,80204.0,Denver,CO,39.736669,-104.999544,291311.0
1305,1305,3073 West 18th Avenue,80204.0,Denver,CO,39.745358,-105.02636799999999,241027.0
1306,1306,4177 Julian Street,80211.0,Denver,CO,39.774460999999995,-105.031411,645434.0
1308,1308,2420 Franklin Street,80205.0,Denver,CO,39.752356,-104.968051,883442.0
1309,1309,3034 Race Street,80205.0,Denver,CO,39.760191,-104.96308799999998,463063.0
1312,1312,4419 West Colfax Avenue,80204.0,Denver,CO,39.736793,-105.04466299999999,315518.0
1313,1313,2417 East 12th Avenue,80206.0,Denver,CO,39.735308,-104.958146,843543.0
1315,1315,140 South Eliot Street,80219.0,Denver,CO,39.714108,-105.023546,368630.0
1318,1318,1373 South Josephine Street,80210.0,Denver,CO,39.691563,-104.958432,596796.0
1319,1319,1560 Vine Street,80206.0,Denver,CO,39.741169,-104.961906,1350415.0
1320,1320,303 South Broadway,80210.0,Denver,CO,39.687177,-104.987147,426481.0
1324,1324,4518 West 34th Avenue,80212.0,Denver,CO,39.76457,-105.04565900000001,427097.0
1325,1325,15475 East Andrews Drive,80239.0,Denver,CO,39.774316999999996,-104.80731,205943.0
1326,1326,3501 West Louisiana Avenue,80219.0,Denver,CO,39.693279,-105.033321,340273.0
1327,1327,936 Kalamath Street,80204.0,Denver,CO,39.731221000000005,-104.999748,981675.0
1329,1329,720 South Logan Street,80209.0,Denver,CO,39.703331,-104.982425,780930.0
1330,1330,3225 Clay Street,80211.0,Denver,CO,39.762537,-105.020822,512046.0
1331,1331,3256 Clay Street,80211.0,Denver,CO,39.763118,-105.02027700000001,447200.0
1332,1332,3121 West 17th Avenue,80204.0,Denver,CO,39.744227,-105.027548,465179.0
1333,1333,1425 East 26th Avenue,80205.0,Denver,CO,39.754668,-104.96998700000002,476887.0
1334,1334,1758 Washington Street,80203.0,Denver,CO,39.744334,-104.97841499999998,682910.0
1335,1335,1205 West 39th Avenue,80211.0,Denver,CO,39.770701,-105.00196499999998,346420.0
1336,1336,3658 Clay Street,80211.0,Denver,CO,39.767796000000004,-105.020129,318762.0
1337,1337,4122 West Greenwood Place,80236.0,Denver,CO,39.655681,-105.04021100000001,449997.0
1338,1338,2401 Larimer Street,80202.0,Denver,CO,39.748866,-104.998117,1278081.0
1339,1339,858 South Pennsylvania Street,80209.0,Denver,CO,39.700882,-104.98143999999999,1404759.0
1340,1340,3171 West 38th Avenue,80211.0,Denver,CO,39.769644,-105.029298,507262.0
1342,1342,1824 West 39th Avenue,80211.0,Denver,CO,39.770259,-105.00868500000001,655393.0
1343,1343,2131 Downing Street,80205.0,Denver,CO,39.748906,-104.97353400000001,746840.0
1344,1344,4560 Osceola Street,80212.0,Denver,CO,39.779498,-105.03776699999999,389819.0
1345,1345,3459 Navajo Street,80211.0,Denver,CO,39.765495,-105.00445500000001,806942.0
1347,1347,3222 Raleigh Street,80212.0,Denver,CO,39.762559,-105.04134499999999,544694.0
1348,1348,978 Lipan Street,80204.0,Denver,CO,39.731937,-105.00126000000002,434707.0
1352,1352,3233 Osage Street,80211.0,Denver,CO,39.762683,-105.005595,401887.0
1353,1353,2520 Gaylord Street,80205.0,Denver,CO,39.753679,-104.960623,606021.0
1354,1354,5138 West 46th Avenue,80212.0,Denver,CO,39.780037,-105.053003,368593.0
1356,1356,3245 Gaylord Street,80205.0,Denver,CO,39.762863,-104.961329,569469.0
1357,1357,3151 West 25th Avenue,80211.0,Denver,CO,39.7539,-105.02813400000001,662978.0
1358,1358,4145 Yates Street,80212.0,Denver,CO,39.773901,-105.051207,502919.0
1359,1359,1033 26th Street,80205.0,Denver,CO,39.757195,-104.98320600000001,309677.0
1360,1360,3300 Elizabeth Street,80205.0,Denver,CO,39.763391,-104.95571000000001,520413.0
1362,1362,1536 Holly Street,80220.0,Denver,CO,39.740943,-104.92194199999999,527428.0
1364,1364,4430 Raleigh Street,80212.0,Denver,CO,39.777257,-105.041265,492837.0
1367,1367,5820 West 50th Avenue,80212.0,Denver,CO,39.787615,-105.060468,569071.0
1368,1368,1038 Lipan Street,80204.0,Denver,CO,39.732855,-105.00121000000001,407578.0
1369,1369,998 South Pearl Street,80209.0,Denver,CO,39.698581,-104.98006399999998,664720.0
1370,1370,1018 Lipan Street,80204.0,Denver,CO,39.732559,-105.001456,406966.0
1372,1372,9767 West Stanford Avenue,80123.0,Denver,CO,39.634885,-105.10776899999999,432492.0
1375,1375,2652 Front View Crescent Drive,80211.0,Denver,CO,39.749521,-105.019806,490579.0
1376,1376,2635 West Holden Place,80204.0,Denver,CO,39.735826,-105.020279,395298.0
1379,1379,1045 West 10th Avenue,80204.0,Denver,CO,39.732288,-105.00135700000001,498309.0
1380,1380,1693 South Quitman Street,80219.0,Denver,CO,39.685518,-105.041425,396253.0
1381,1381,4430 West 32nd Avenue,80212.0,Denver,CO,39.76187,-105.04477800000001,738240.0
1382,1382,1513 Harrison Street,80206.0,Denver,CO,39.740463,-104.941947,311101.0
1383,1383,5551 Xanadu Street,80239.0,Denver,CO,39.796115,-104.830137,338344.0
1384,1384,65 Ogden Street,80218.0,Denver,CO,39.717665999999994,-104.975931,280618.0
1385,1385,4350 Xavier Street,80212.0,Denver,CO,39.775713,-105.049446,740497.0
1387,1387,1414 South Winona Way,80219.0,Denver,CO,39.691044,-105.04810400000001,378259.0
1394,1394,1456 Josephine Street,80206.0,Denver,CO,39.739469,-104.95845200000001,708038.0
1395,1395,2217 West 40th Avenue,80211.0,Denver,CO,39.77187,-105.013958,392321.0
1398,1398,4338 Raritan Street,80211.0,Denver,CO,39.776056,-105.008449,601981.0
1401,1401,3035 West 45th Avenue,80211.0,Denver,CO,39.778181,-105.02608500000001,609478.0
1404,1404,2726 Stout Street,80205.0,Denver,CO,39.756343,-104.97898799999999,775843.0
1407,1407,3930 West 14th Avenue,80204.0,Denver,CO,39.738276,-105.038886,531550.0
1408,1408,1115 West 10th Avenue,80204.0,Denver,CO,39.732375,-105.001974,667247.0
1411,1411,1925 Grove Street,80204.0,Denver,CO,39.747018,-105.02714099999999,616973.0
1413,1413,3301 Navajo Street,80211.0,Denver,CO,39.763349,-105.00443999999999,536430.0
1415,1415,4841 Julian Street,80221.0,Denver,CO,39.784648,-105.03139499999999,445713.0
1416,1416,1334 Zenobia Street,80204.0,Denver,CO,39.737396000000004,-105.05188999999999,477356.0
1419,1419,2354 Glenarm Place,80205.0,Denver,CO,39.751026,-104.980783,397919.0
1420,1420,2841 Champa Street,80205.0,Denver,CO,39.758526,-104.978874,704238.0
1421,1421,3508 West 7th Avenue,80204.0,Denver,CO,39.727426,-105.03426100000001,371373.0
1422,1422,977 Cook Street,80206.0,Denver,CO,39.731918,-104.94759499999999,667905.0
1423,1423,2333 Tremont Place,80205.0,Denver,CO,39.750391,-104.980694,672121.0
1424,1424,1376 Raleigh Street,80204.0,Denver,CO,39.73802,-105.04131100000001,741726.0
1425,1425,2851 West 24th Avenue,80211.0,Denver,CO,39.752693,-105.02335500000001,699547.0
1428,1428,3812 South Yosemite Street,80237.0,Denver,CO,39.646832,-104.882512,284601.0
1429,1429,1941 Eliot Street,80219.0,Denver,CO,39.689651,-105.023472,369034.0
1430,1430,21 Washington Street,80229.0,Denver,CO,39.845801,-104.97675,169673.0
1431,1431,1821 West 38th Avenue,80211.0,Denver,CO,39.769422,-105.008581,326398.0
1435,1435,3425 Grove Street,80211.0,Denver,CO,39.765235,-105.027855,587439.0
1438,1438,2810 Utica Street,80212.0,Denver,CO,39.757546000000005,-105.045125,666769.0
1441,1441,3637 High Street,80205.0,Denver,CO,39.76768,-104.964906,798874.0
1442,1442,3015 Lowell Boulevard,80211.0,Denver,CO,39.760545,-105.034921,1597133.0
1444,1444,2765 Osceola Street,80212.0,Denver,CO,39.757077,-105.03843300000001,570947.0
1445,1445,1674 Saint Paul Street,80206.0,Denver,CO,39.743437,-104.950972,931966.0
1446,1446,3070 Cook Street,80210.0,Denver,CO,39.661306,-104.94713200000001,771178.0
1447,1447,2649 Wolff Street,80212.0,Denver,CO,39.75574,-105.048702,565588.0
1448,1448,1630 South Sherman Street,80210.0,Denver,CO,39.68687,-104.984839,655055.0
