,latitude,longitude
239,39.73089,-104.97185
240,39.75391,-104.98491000000001
241,39.73725,-104.94448
242,39.731,-104.93323999999998
243,39.739329999999995,-104.98208000000001
244,39.72665,-104.98286999999999
245,39.78027,-105.03804
246,39.75096,-104.92658999999999
247,39.75983,-104.9585
248,39.718059999999994,-104.99032
249,39.74573,-104.99661
250,39.74123,-104.9641
251,39.72327,-104.90365
252,39.73488,-104.97641999999999
253,39.74317,-104.97397
254,39.75553,-104.98156000000002
255,39.77037,-105.04803000000001
256,39.74286,-104.96706
257,39.747609999999995,-104.98003999999999
258,39.738,-104.96593
259,39.718579999999996,-104.98438
260,39.75956,-105.03851999999999
261,39.72575,-104.99753
262,39.75517,-104.97218000000001
263,39.75663,-104.98482
264,39.75051,-104.91251000000001
265,39.65697,-105.06602
266,39.7643,-104.9781
267,39.760979999999996,-105.01191999999999
268,39.720890000000004,-104.99251000000001
269,39.7573,-105.00912
270,39.72701,-104.98116
271,39.76703,-104.95343999999999
272,39.75741,-105.03048000000001
273,39.740990000000004,-104.96095
274,39.7353,-104.98083000000001
275,39.675290000000004,-105.05483000000001
276,39.76634,-105.00392
277,39.75377,-105.00393999999999
278,39.74326,-104.9323
279,39.7635,-105.03478
280,39.76345,-105.0092
281,39.76005,-104.96651000000001
282,39.73485,-104.98173
283,39.68905,-105.01884
284,39.73149,-104.95278
285,39.7389,-104.9528
286,39.76121,-105.01732
287,39.73601,-104.94407
288,39.73117,-104.92342
289,39.75995,-104.89295
290,39.64861,-104.88696000000002
291,39.767720000000004,-104.94894
292,39.766040000000004,-104.96056000000002
293,39.75891,-104.95351000000001
294,39.735079999999996,-104.9849
295,39.74152,-104.96693
296,39.73182,-104.99176999999999
297,39.75423,-104.98425
298,39.738490000000006,-104.9181
299,39.75179,-104.88418999999999
300,39.73349,-104.95414
301,39.781209999999994,-105.03773999999999
302,39.7302,-104.99654
303,39.71407,-104.98527
304,39.762440000000005,-104.96722
305,39.67801,-104.9499
306,39.73572,-104.95532
307,39.75147,-104.97526
308,39.67738,-104.96576
309,39.73506,-104.96992
310,39.7481,-104.91445
311,39.733340000000005,-105.0015
312,39.7451,-104.98035
313,39.72249,-104.97681999999999
314,39.737759999999994,-104.97254
315,39.75561,-105.00183
316,39.742470000000004,-104.97503
317,39.7522,-104.96668999999999
318,39.71342,-104.97507
319,39.74943,-105.03582
320,39.7629,-105.02833000000001
321,39.75056,-104.98275
322,39.763459999999995,-104.93218999999999
323,39.66206,-105.04865
324,39.7376,-105.04867
325,39.70113,-104.9214
326,39.69981,-104.92453
327,39.766259999999996,-105.00299
328,39.73173,-104.98025
329,39.72826,-104.9731
330,39.73598,-104.97843999999999
331,39.743790000000004,-104.98026999999999
332,39.683679999999995,-104.98246
333,39.763659999999994,-104.96088
334,39.7595,-104.97393999999998
335,39.77045,-105.01365
336,39.78396,-105.03662
337,39.66367,-105.01926
338,39.74555,-104.99766000000001
339,39.76869,-105.00535
340,39.73503,-104.98312
341,39.735409999999995,-104.98195
342,39.7066,-104.92442
343,39.73465,-104.97783000000001
344,39.77063,-105.03706000000001
345,39.76103,-104.95853999999999
346,39.7601,-105.03478999999999
347,39.715140000000005,-104.98666999999999
348,39.75663,-104.98613
349,39.675990000000006,-104.94238999999999
350,39.76298,-105.0288
351,39.71753,-104.93503999999999
352,39.77963,-104.75174
353,39.718140000000005,-104.93525
354,39.76748,-104.94368
355,39.7687,-105.00222
356,39.74892,-104.97725
357,39.7284,-104.97078
358,39.76164,-104.97106000000001
359,39.7181,-104.98886
360,39.77002,-105.01373000000001
361,39.71569,-104.97617
362,39.75993,-104.98573999999999
363,39.78649,-105.03976000000002
364,39.70165,-104.97471000000002
365,39.748540000000006,-105.02173
366,39.74227,-104.94838
367,39.71935,-105.0365
368,39.7796,-105.01996000000001
369,39.787440000000004,-105.00763
370,39.71731,-104.97738000000001
371,39.77424,-105.0442
372,39.75062,-104.98273
373,39.755390000000006,-104.85648
374,39.75983,-104.96377
375,39.73036,-104.9692
376,39.73976,-104.95783999999999
377,39.67057,-104.98603999999999
378,39.669909999999994,-104.98603999999999
379,39.71055,-104.91478000000001
380,39.72162,-104.89985
381,39.74236,-104.91042
382,39.7308,-104.9704
383,39.74824,-105.02133
384,39.74353,-104.91096999999999
385,39.7626,-105.04135
386,39.73223,-104.97247
387,39.679109999999994,-104.94945
388,39.7124,-104.97808
389,39.74256,-104.97765
390,39.71547,-105.04852
391,39.73808,-104.92098999999999
392,39.75415,-104.97627
393,39.72129,-104.91326000000001
394,39.73214,-104.94185
395,39.71883,-104.98445
396,39.75311,-104.91606000000002
397,39.71748,-104.94266
398,39.74516,-104.99786
399,39.75183,-105.02758
400,39.751059999999995,-105.00011
401,39.75535,-105.03431
402,39.7477,-104.96067
403,39.75855,-105.01221000000001
404,39.78543,-105.01365
405,39.766709999999996,-105.00681000000002
406,39.74477,-104.97612
407,39.761140000000005,-105.00816999999999
408,39.734120000000004,-104.95371999999999
409,39.76314,-104.97355
410,39.767140000000005,-104.95976
411,39.74848,-104.97018999999999
412,39.766290000000005,-105.00891999999999
413,39.76919,-105.02003
414,39.75108,-104.99622
415,39.79003,-105.02103000000001
416,39.76171,-105.02037
417,39.734609999999996,-104.9613
418,39.740120000000005,-104.98369
419,39.7644,-105.01847
420,39.75789,-104.97391
421,39.66897,-104.91663
422,39.76939,-105.00211999999999
423,39.76924,-105.01527
424,39.76941,-104.96592
425,39.75475,-105.04871999999999
426,39.76585,-104.97613
427,39.737629999999996,-104.97506000000001
428,39.77937,-105.04932
429,39.77967,-105.03958999999999
430,39.72269,-104.99521999999999
431,39.66107,-104.89098
