,address,zipcode,city,state,latitude,longitude,amount
74,3116 Newton Street,80211,Denver,CO,39.761579,-105.036653,1176900
75,1755 Central Street,80211,Denver,CO,39.760032,-105.007494,
76,8113 East 53rd Drive,,,,,,
77,1235 South Corona Street,80210,Denver,CO,39.694039,-104.974907,578540
78,2222 West 39th Avenue,,,,,,
79,1316 Yates Street,80204,Denver,CO,39.737138,-105.050627,415153
80,9075 East Mississippi Avenue,80247,Denver,CO,39.697328,-104.885183,
81,20942 East Randolph Place,,,,,,
82,3242 West 28th Avenue,80211,Denver,CO,39.757095,-105.029733,398752
83,685 South Bryant Street,80219,Denver,CO,39.704228,-105.018366,452032
84,2246 Washington Street,80205,Denver,CO,39.750372,-104.97781,439113
85,2215 Court Place,80241,Thornton,CO,39.927479,-104.960351,376966
86,7096 East Ohio Drive,,,,,,
87,648 Columbine Street,80206,Denver,CO,39.726543,-104.957528,1320457
88,1252 South Bellaire Street,,,,,,
89,2942 West 3rd Avenue,80219,Denver,CO,39.720888,-105.024312,347278
90,3939 West 25th Avenue,80212,Denver,CO,39.754159,-105.039107,695270
91,3115 Vine Street,80205,Denver,CO,39.761014,-104.96255,503085
92,4424 Vallejo Street,80211,Denver,CO,39.777053,-105.013156,509037
93,940 Lincoln Street,,,,,,
94,4141 West 30th Avenue,80212,Denver,CO,39.760546,-105.041407,1407023
95,1 Polo Club Lane,80209,Denver,CO,39.707073,-104.955692,4097566
96,1925 Hooker Street,80204,Denver,CO,39.747143,-105.02871,596631
97,5017 West 41st Avenue,80212,Denver,CO,39.773083,-105.051354,301209
98,719 East 17th Avenue,80203,Denver,CO,39.743007,-104.983102,
99,22 Jackson Street,80206,Denver,CO,39.716695,-104.942191,
100,4121 South Valentia Street,,,,,,
101,4000 South Uinta Street,,,,,,
102,2353 Washington Street,80205,Denver,CO,39.751436,-104.978274,647818
103,3459 Shoshone Street,80211,Denver,CO,39.7655,-105.009928,662407
104,3882 South Jasmine Street,,,,,,
105,2515 Lawrence Street,80205,Denver,CO,39.757402,-104.985579,1188361
106,1090 East Colorado Avenue,,,,,,
107,719 Clermont Street,,,,,,
108,2111 East Dartmouth Avenue,80210,Denver,CO,39.660604,-104.963682,866958
109,6654 East 16th Avenue,,,,,,
110,1440 Gaylord Street,80206,Denver,CO,39.739214,-104.960655,858491
111,188 Xavier Street,80219,Denver,CO,39.720081,-105.048851,398318
112,1071 Washington Street,80203,Denver,CO,39.733319,-104.979162,309496
113,1420 Stout Street,,,,,,
114,4881 North Dunkirk Street,,,,,,
115,3211 Clayton Street,80205,Denver,CO,39.76226,-104.955215,460580
116,4967 Quitman Street,80212,Denver,CO,39.786452,-105.040726,390575
117,4158 Wyandot Street,80211,Denver,CO,39.773966,-105.01438,500846
118,146 West Irvington Place,80223,Denver,CO,39.717211,-104.990417,809694
119,1236 Emerson Street,,,,,,
120,909 East 25th Avenue,80205,Denver,CO,39.753444,-104.975516,596782
121,1350 Franklin Street,80218,Denver,CO,39.737762,-104.968107,1314703
122,720 Elizabeth Street,80206,Denver,CO,39.727758,-104.95639,533837
123,1588 Detroit Street,80206,Denver,CO,39.741845,-104.954435,831395
124,4710 East Jewell Avenue,80222,Denver,CO,39.681856,-104.933557,406905
125,2246 Larimer Street,80205,Denver,CO,39.755287,-104.989024,
126,3349 Humboldt Street,80205,Denver,CO,39.764243,-104.969798,
127,3021 South Grape Way,80222,Denver,CO,39.664063,-104.924839,451779
128,2835 Stout Street,80205,Denver,CO,39.757753,-104.978149,442750
129,136 Kalamath Street,,,,,,
130,3949 East 17th Avenue,,,,,,
131,1750 Wewatta Street,80202,Denver,CO,39.754336,-105.000525,417280
132,539 Bannock Street,80204,Denver,CO,39.724888,-104.991208,598162
133,2380 South Quitman Street,80219,Denver,CO,39.673957,-105.040336,408159
134,3331 Tejon Street,80211,Denver,CO,39.763874,-105.011529,557294
135,9824 South Fulton Street,,,,,,
136,556 South Sherman Street,80209,Denver,CO,39.706454,-104.984824,878280
137,6923 West Yale Avenue,,,,,,
138,1956 South Leyden Street,,,,,,
139,1694 Xanthia Street,80220,Denver,CO,39.743655,-104.886667,420221
140,1700 East Colfax Avenue,,,,,,
141,2841 Stout Street,80205,Denver,CO,39.75785,-104.978024,436113
142,45 Ogden Street,80218,Denver,CO,39.717443,-104.976255,477703
143,1382 West Ada Place,,,,,,
144,849 South Osage Street,80223,Denver,CO,39.700456,-105.003809,350669
145,2162 East 28th Avenue,,,,,,
146,1169 Colorado Boulevard,80206,Denver,CO,39.734908,-104.94104,
147,4829 North Halifax Court,80249,Denver,CO,39.78482,-104.756918,364675
148,1721 Boulder Street,80211,Denver,CO,39.760686,-105.009062,1198486
149,7428 Richthofen Place,,,,,,
150,526 Delaware Street,80204,Denver,CO,39.724676,-104.992461,438004
151,2725 South Harrison Street,80210,Denver,CO,39.666859,-104.94207,447799
152,2724 South Garfield Street,80210,Denver,CO,39.666891,-104.943495,458376
153,789 Ivanhoe Street,,,,,,
154,844 Meade Street,80204,Denver,CO,39.729992,-105.035875,
155,1800 South Clarkson Street,80210,Denver,CO,39.683784,-104.977868,444489
156,1645 Stout Street,,,,,,
157,950 Quitman Street,80204,Denver,CO,39.732413,-105.040236,386585
